site_id,ri_type,timestamp,operational_status,maintenance_flag,scheduled_maintenance,node_availability,link_availability,stability_score,packet_loss,network_jitter,network_utilization,available_bandwidth,cpu_util_avg,gpu_util_avg,free_cpu_capacity,free_gpu_capacity,queue_length,remaining_jobs,provisioning_delay_s,load_index,energy_consumed,pue_estimate,carbon_intensity,energy_per_task_proxy,update_frequency,data_confidence,coverage_ratio,stale_flag
site_ad3433ffac,iot,2025-11-19T23:00:00+00:00,DEGRADED,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",0.8333,0.875,0.78,3.45,22.0,25.0,1000.0,27.5,,137634.0,,0,2,150.0,0.275,760249.875,1.165,120.0,417648.0,3600,0.75,0.8333,false
site_ad3433ffac,iot,2025-11-20T00:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.4593,2.0681,25.8519,987.2222,28.7175,,135322.7479,,0,2,30.0,0.2872,794289.6965,1.1656,121.363,436138.0171,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T01:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.4687,2.2679,28.3494,949.7595,31.7448,,129575.7152,,0,2,30.0,0.3174,878443.0647,1.1661,125.359,482114.2787,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T02:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.478,2.5858,32.3223,890.165,36.3943,,120749.0664,,0,3,30.0,0.3639,1007587.1698,1.1667,131.7157,552727.4687,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T03:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.4873,3.0,37.5,812.5,42.3678,,109408.9362,,0,3,30.0,0.4237,1173525.0466,1.1672,140.0,643448.5103,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T04:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.4965,3.4824,43.5295,722.0571,49.2768,,96292.8976,,0,4,30.0,0.4928,1365540.5834,1.1678,149.6472,748376.8192,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T05:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.5056,4.0,50.0,625.0,56.6689,,82259.7469,,0,4,30.0,0.5667,1571125.9711,1.1683,160.0,860642.0245,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T06:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.5147,4.5176,56.4705,527.9429,64.0587,,68231.0274,,1,5,75.0,0.6606,1776832.1736,1.1689,170.3528,972871.7811,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T07:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.5237,5.0,62.5,437.5,70.9607,,55128.2758,,1,5,75.0,0.7296,1969184.5416,1.1694,180.0,1077693.7934,3600,0.92,1.0,false
site_ad3433ffac,iot,2025-11-20T08:00:00+00:00,UP,false,"{""start"": ""2025-11-20T23:00:00+00:00"", ""end"": ""2025-11-21T01:00:00+00:00""}",1.0,1.0,0.98,0.5326,5.4142,67.6777,359.835,76.9225,,43810.2701,,2,6,120.0,0.8092,2135601.1721,1.17,188.2843,1168237.8392,3600,0.92,1.0,false
